Src IP,Dst IP,isAttack,type_attack
192.168.18.20,3.163.63.121,BENIGN,BENIGN
192.168.18.20,204.79.197.203,BENIGN,BENIGN
192.168.18.20,51.132.193.105,BENIGN,BENIGN
51.132.193.105,192.168.18.20,BENIGN,BENIGN
192.168.18.20,2.20.20.27,BENIGN,BENIGN
2.20.20.27,192.168.18.20,BENIGN,BENIGN
192.168.18.1,239.255.255.250,BENIGN,BENIGN
134.221.96.2,227.25.0.123,BENIGN,BENIGN
134.221.96.2,227.25.0.20,BENIGN,BENIGN
192.168.18.20,13.227.107.95,BENIGN,BENIGN
134.221.96.1,226.70.0.20,BENIGN,BENIGN
192.168.18.20,191.237.206.80,BENIGN,BENIGN
134.221.96.6,217.100.0.48,BENIGN,BENIGN
192.168.18.20,20.169.174.231,BENIGN,BENIGN
134.221.96.4,63.226.0.21,BENIGN,BENIGN
192.168.18.20,95.101.25.149,BENIGN,BENIGN
192.168.18.20,40.90.8.111,BENIGN,BENIGN
192.168.18.20,224.0.0.251,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
192.168.18.1,239.255.255.250,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.2,227.25.0.123,BENIGN,BENIGN
134.221.96.2,227.25.0.20,BENIGN,BENIGN
192.168.18.20,20.201.52.37,BENIGN,BENIGN
192.168.18.20,13.107.5.93,BENIGN,BENIGN
192.168.18.20,13.107.5.93,BENIGN,BENIGN
192.168.18.20,13.107.5.93,BENIGN,BENIGN
13.107.5.93,192.168.18.20,BENIGN,BENIGN
192.168.18.20,13.107.5.93,BENIGN,BENIGN
192.168.18.20,13.107.5.93,BENIGN,BENIGN
192.168.18.20,13.107.5.93,BENIGN,BENIGN
13.107.5.93,192.168.18.20,BENIGN,BENIGN
192.168.18.20,20.201.52.37,BENIGN,BENIGN
134.221.96.6,217.100.0.48,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.1,226.70.0.20,BENIGN,BENIGN
134.221.96.1,226.70.0.67,BENIGN,BENIGN
192.168.18.20,13.107.5.93,BENIGN,BENIGN
13.107.5.93,192.168.18.20,BENIGN,BENIGN
192.168.18.20,13.107.5.93,BENIGN,BENIGN
13.107.5.93,192.168.18.20,BENIGN,BENIGN
192.168.18.20,13.107.5.93,BENIGN,BENIGN
13.107.5.93,192.168.18.20,BENIGN,BENIGN
192.168.18.20,20.169.174.231,BENIGN,BENIGN
134.221.96.4,63.226.0.21,BENIGN,BENIGN
192.168.18.20,3.163.63.124,BENIGN,BENIGN
192.168.18.20,95.100.156.180,BENIGN,BENIGN
95.100.156.180,192.168.18.20,BENIGN,BENIGN
192.168.18.20,224.0.0.251,BENIGN,BENIGN
192.168.18.20,20.50.80.214,BENIGN,BENIGN
192.168.18.20,13.89.179.11,BENIGN,BENIGN
13.89.179.11,192.168.18.20,BENIGN,BENIGN
192.168.18.1,239.255.255.250,BENIGN,BENIGN
134.221.96.2,227.25.0.20,BENIGN,BENIGN
192.168.18.20,20.44.10.122,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.0,0.0.0.32,BENIGN,BENIGN
192.168.18.20,204.79.197.219,BENIGN,BENIGN
192.168.18.20,204.79.197.219,BENIGN,BENIGN
192.168.18.20,108.174.10.31,BENIGN,BENIGN
192.168.18.20,68.67.153.38,BENIGN,BENIGN
192.168.18.20,68.67.153.38,BENIGN,BENIGN
192.168.18.20,204.79.197.203,BENIGN,BENIGN
192.168.18.20,20.201.52.37,BENIGN,BENIGN
192.168.18.20,68.67.180.157,BENIGN,BENIGN
192.168.18.20,20.44.10.122,BENIGN,BENIGN
192.168.18.20,151.101.248.157,BENIGN,BENIGN
192.168.18.20,64.58.116.132,BENIGN,BENIGN
192.168.18.20,3.163.63.124,BENIGN,BENIGN
192.168.18.20,204.79.197.203,BENIGN,BENIGN
151.101.248.157,192.168.18.20,BENIGN,BENIGN
204.79.197.203,192.168.18.20,BENIGN,BENIGN
108.174.10.31,192.168.18.20,BENIGN,BENIGN
192.168.18.20,20.201.52.37,BENIGN,BENIGN
192.168.18.20,23.96.180.189,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
