Src IP,Dst IP,isAttack,type_attack
192.168.18.20,34.120.52.64,BENIGN,BENIGN
192.168.18.20,13.227.207.9,BENIGN,BENIGN
192.168.18.20,151.101.248.176,BENIGN,BENIGN
192.168.18.20,35.204.170.125,BENIGN,BENIGN
192.168.18.20,35.204.170.125,BENIGN,BENIGN
192.168.18.20,35.204.170.125,BENIGN,BENIGN
192.168.18.20,192.168.18.5,BENIGN,BENIGN
192.168.18.20,23.37.9.176,BENIGN,BENIGN
134.221.96.0,251.13.0.42,BENIGN,BENIGN
134.221.96.6,181.146.0.41,BENIGN,BENIGN
192.168.18.20,35.204.170.125,BENIGN,BENIGN
134.221.96.12,112.23.0.41,BENIGN,BENIGN
134.221.96.0,251.13.0.45,BENIGN,BENIGN
134.221.96.14,47.161.0.20,BENIGN,BENIGN
134.221.96.0,251.13.1.77,BENIGN,BENIGN
134.221.96.0,251.13.0.46,BENIGN,BENIGN
151.101.249.91,192.168.18.20,BENIGN,BENIGN
35.201.82.116,192.168.18.20,BENIGN,BENIGN
134.221.96.6,181.146.0.42,BENIGN,BENIGN
134.221.96.12,112.23.0.42,BENIGN,BENIGN
134.221.96.4,178.133.0.20,BENIGN,BENIGN
34.120.52.64,192.168.18.20,BENIGN,BENIGN
134.221.96.15,40.54.0.39,BENIGN,BENIGN
151.101.249.91,192.168.18.20,BENIGN,BENIGN
134.221.96.6,181.146.0.46,BENIGN,BENIGN
134.221.96.0,251.13.0.40,BENIGN,BENIGN
134.221.96.10,39.224.4.214,BENIGN,BENIGN
134.221.96.12,112.23.0.46,BENIGN,BENIGN
134.221.96.8,185.120.0.20,BENIGN,BENIGN
134.221.96.0,251.13.4.214,BENIGN,BENIGN
134.221.96.15,40.54.4.214,BENIGN,BENIGN
8.6.0.1,8.0.6.4,BENIGN,BENIGN
192.168.18.20,34.120.52.64,BENIGN,BENIGN
134.221.96.10,39.224.0.39,BENIGN,BENIGN
34.120.52.64,192.168.18.20,BENIGN,BENIGN
134.221.96.12,112.23.0.40,BENIGN,BENIGN
134.221.96.0,251.13.0.41,BENIGN,BENIGN
134.221.96.0,235.22.0.20,BENIGN,BENIGN
134.221.96.0,251.13.4.210,BENIGN,BENIGN
134.221.96.0,251.13.0.44,BENIGN,BENIGN
134.221.96.6,181.146.0.40,BENIGN,BENIGN
134.221.96.8,185.120.5.132,BENIGN,BENIGN
