Src IP,Dst IP,isAttack,type_attack
192.168.18.20,34.111.121.151,BENIGN,BENIGN
192.168.18.20,34.111.121.151,BENIGN,BENIGN
192.168.18.20,13.227.207.69,BENIGN,BENIGN
192.168.18.20,151.101.249.91,BENIGN,BENIGN
151.101.249.91,192.168.18.20,BENIGN,BENIGN
192.168.18.20,162.159.140.229,BENIGN,BENIGN
192.168.18.20,35.241.46.245,BENIGN,BENIGN
192.168.18.20,34.117.138.150,BENIGN,BENIGN
192.168.18.20,151.101.248.176,BENIGN,BENIGN
192.168.18.20,35.204.170.125,BENIGN,BENIGN
192.168.18.20,34.120.52.64,BENIGN,BENIGN
192.168.18.20,35.204.170.125,BENIGN,BENIGN
192.168.18.20,35.204.170.125,BENIGN,BENIGN
192.168.18.20,191.237.206.80,BENIGN,BENIGN
151.101.248.176,192.168.18.20,BENIGN,BENIGN
52.27.28.116,192.168.18.20,BENIGN,BENIGN
192.168.18.20,52.27.28.116,BENIGN,BENIGN
192.168.18.20,95.101.25.147,BENIGN,BENIGN
192.168.18.20,95.101.25.147,BENIGN,BENIGN
192.168.18.20,95.101.25.149,BENIGN,BENIGN
192.168.18.20,95.101.25.149,BENIGN,BENIGN
191.237.206.80,192.168.18.20,BENIGN,BENIGN
134.221.96.0,251.13.0.39,maligno,BENIGN
134.221.96.3,49.159.0.20,BENIGN,BENIGN
134.221.96.0,251.13.0.46,BENIGN,BENIGN
134.221.96.0,251.13.1.77,maligno,BENIGN
192.168.18.20,35.201.82.116,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.4,178.133.0.20,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
192.168.18.20,151.101.248.176,BENIGN,BENIGN
192.168.18.20,35.241.46.245,BENIGN,BENIGN
134.221.96.5,66.67.0.45,BENIGN,BENIGN
134.221.96.14,3.27.5.132,BENIGN,BENIGN
192.168.18.20,224.0.0.251,BENIGN,BENIGN
192.168.18.20,35.204.170.125,BENIGN,BENIGN
134.221.96.10,147.51.0.40,BENIGN,BENIGN
34.111.121.151,192.168.18.20,BENIGN,BENIGN
192.168.18.20,151.101.249.91,BENIGN,BENIGN
134.221.96.14,3.27.0.20,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.6,220.180.0.20,BENIGN,BENIGN
35.241.46.245,192.168.18.20,BENIGN,BENIGN
34.120.52.64,192.168.18.20,BENIGN,BENIGN
34.111.121.151,192.168.18.20,BENIGN,BENIGN
134.221.96.14,64.158.0.41,BENIGN,BENIGN
162.159.140.229,192.168.18.20,BENIGN,BENIGN
134.221.96.0,251.13.4.214,BENIGN,BENIGN
192.168.18.20,35.204.170.125,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.15,114.54.0.20,BENIGN,BENIGN
134.221.96.0,251.13.0.47,BENIGN,BENIGN
134.221.96.0,235.22.0.32,BENIGN,BENIGN
134.221.96.7,133.207.0.40,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.0,235.22.5.132,BENIGN,BENIGN
134.221.96.6,220.180.5.132,BENIGN,BENIGN
192.168.18.20,13.227.207.9,BENIGN,BENIGN
134.221.96.2,209.1.0.20,BENIGN,BENIGN
134.221.96.15,6.94.0.20,BENIGN,BENIGN
192.168.18.20,34.111.121.151,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.0,235.22.0.59,BENIGN,BENIGN
134.221.96.1,12.153.4.214,BENIGN,BENIGN
134.221.96.0,251.13.0.43,BENIGN,BENIGN
34.117.138.150,192.168.18.20,BENIGN,BENIGN
192.168.18.20,35.204.170.125,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
192.168.18.20,34.120.52.64,BENIGN,BENIGN
35.204.170.125,192.168.18.20,BENIGN,BENIGN
134.221.96.0,251.13.4.210,BENIGN,BENIGN
134.221.96.0,251.13.0.44,BENIGN,BENIGN
134.221.96.0,251.13.0.42,BENIGN,BENIGN
134.221.96.6,220.180.0.32,BENIGN,BENIGN
192.168.18.20,34.111.121.151,BENIGN,BENIGN
192.168.18.20,35.204.170.125,BENIGN,BENIGN
192.168.18.20,34.110.164.207,BENIGN,BENIGN
134.221.96.14,47.161.0.20,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
192.168.18.1,239.255.255.250,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
13.227.207.69,192.168.18.20,BENIGN,BENIGN
192.168.18.20,34.120.52.64,BENIGN,BENIGN
134.221.96.12,128.3.0.20,BENIGN,BENIGN
192.168.18.20,151.101.249.91,BENIGN,BENIGN
134.221.96.0,251.13.0.40,BENIGN,BENIGN
192.168.18.20,35.241.46.245,BENIGN,BENIGN
35.204.170.125,192.168.18.20,BENIGN,BENIGN
134.221.96.0,251.13.0.41,BENIGN,BENIGN
192.168.18.20,34.117.192.206,BENIGN,BENIGN
134.221.96.0,235.22.0.20,BENIGN,BENIGN
192.168.18.20,34.117.138.150,BENIGN,BENIGN
134.221.96.5,66.67.0.41,BENIGN,BENIGN
134.221.96.10,10.244.4.214,BENIGN,BENIGN
35.204.170.125,192.168.18.20,BENIGN,BENIGN
