Src IP,Dst IP,isAttack,type_attack
72.154.7.106,192.168.18.20,BENIGN,BENIGN
72.154.7.106,192.168.18.20,BENIGN,BENIGN
192.168.18.20,95.101.25.147,BENIGN,BENIGN
192.168.18.20,95.101.25.147,BENIGN,BENIGN
192.168.18.20,44.232.158.137,BENIGN,BENIGN
44.232.158.137,192.168.18.20,BENIGN,BENIGN
192.168.18.20,4.153.191.4,BENIGN,BENIGN
192.168.18.20,20.42.73.28,BENIGN,BENIGN
20.42.73.28,192.168.18.20,BENIGN,BENIGN
192.168.18.20,4.153.191.4,BENIGN,BENIGN
192.168.18.20,4.153.191.4,BENIGN,BENIGN
192.168.18.20,192.168.18.5,BENIGN,BENIGN
192.168.18.20,192.168.18.5,BENIGN,BENIGN
192.168.18.20,192.168.18.5,BENIGN,BENIGN
192.168.18.20,192.168.18.5,BENIGN,BENIGN
192.168.18.20,95.101.25.149,BENIGN,BENIGN
192.168.18.20,95.101.25.149,BENIGN,BENIGN
192.168.18.20,13.89.179.13,BENIGN,BENIGN
192.168.18.20,192.168.18.5,BENIGN,BENIGN
192.168.18.20,192.168.18.5,BENIGN,BENIGN
192.168.18.20,192.168.18.5,BENIGN,BENIGN
192.168.18.20,192.168.18.5,BENIGN,BENIGN
192.168.18.20,13.89.179.13,BENIGN,BENIGN
192.168.18.20,95.100.156.165,BENIGN,BENIGN
95.100.156.165,192.168.18.20,BENIGN,BENIGN
192.168.18.20,192.168.18.5,BENIGN,BENIGN
192.168.18.20,192.168.18.5,BENIGN,BENIGN
192.168.18.20,192.168.18.5,BENIGN,BENIGN
192.168.18.20,192.168.18.5,BENIGN,BENIGN
192.168.18.20,192.168.18.5,BENIGN,BENIGN
192.168.18.20,192.168.18.5,BENIGN,BENIGN
192.168.18.20,20.169.174.231,BENIGN,BENIGN
20.169.174.231,192.168.18.20,BENIGN,BENIGN
192.168.18.20,72.154.7.106,BENIGN,BENIGN
192.168.18.20,23.37.9.176,BENIGN,BENIGN
23.37.9.176,192.168.18.20,BENIGN,BENIGN
72.154.7.106,192.168.18.20,BENIGN,BENIGN
4.153.191.4,192.168.18.20,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.4,76.20.4.210,BENIGN,BENIGN
134.221.96.3,49.159.0.20,BENIGN,BENIGN
