Src IP,Dst IP,isAttack,type_attack
192.168.18.20,13.227.107.95,BENIGN,BENIGN
192.168.18.20,20.42.73.30,BENIGN,BENIGN
192.168.18.20,224.0.0.251,BENIGN,BENIGN
192.168.18.1,239.255.255.250,BENIGN,BENIGN
134.221.96.4,147.155.0.48,BENIGN,BENIGN
134.221.96.2,227.25.0.123,BENIGN,BENIGN
134.221.96.2,227.25.0.20,BENIGN,BENIGN
134.221.96.4,63.226.0.21,BENIGN,BENIGN
192.168.18.20,2.16.197.47,BENIGN,BENIGN
2.16.197.47,192.168.18.20,BENIGN,BENIGN
192.168.18.20,40.90.8.111,BENIGN,BENIGN
192.168.18.20,224.0.0.251,BENIGN,BENIGN
192.168.18.1,239.255.255.250,BENIGN,BENIGN
134.221.96.2,227.25.0.20,BENIGN,BENIGN
8.6.0.1,8.0.6.4,BENIGN,BENIGN
134.221.96.1,226.70.0.20,BENIGN,BENIGN
134.221.96.4,63.226.0.21,BENIGN,BENIGN
134.221.96.2,227.25.0.123,BENIGN,BENIGN
134.221.96.0,0.0.0.32,BENIGN,BENIGN
192.168.18.20,13.227.107.36,BENIGN,BENIGN
134.221.96.1,226.70.0.68,BENIGN,BENIGN
192.168.18.20,224.0.0.251,BENIGN,BENIGN
192.168.18.1,239.255.255.250,BENIGN,BENIGN
192.168.18.20,2.16.197.47,BENIGN,BENIGN
2.16.197.47,192.168.18.20,BENIGN,BENIGN
134.221.96.2,227.25.0.20,BENIGN,BENIGN
192.168.18.20,13.227.107.36,BENIGN,BENIGN
134.221.96.6,217.100.0.48,BENIGN,BENIGN
134.221.96.6,217.100.0.20,BENIGN,BENIGN
192.168.18.20,104.18.25.17,BENIGN,BENIGN
134.221.96.1,226.70.0.20,BENIGN,BENIGN
134.221.96.4,63.226.0.21,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.1,226.70.0.67,BENIGN,BENIGN
192.168.18.20,13.227.107.95,BENIGN,BENIGN
134.221.96.2,227.25.0.123,BENIGN,BENIGN
134.221.96.1,226.70.0.151,BENIGN,BENIGN
192.168.18.20,172.217.172.38,BENIGN,BENIGN
192.168.18.20,172.217.29.194,BENIGN,BENIGN
192.168.18.20,20.189.173.13,BENIGN,BENIGN
192.168.18.20,224.0.0.251,BENIGN,BENIGN
192.168.18.20,68.67.153.38,BENIGN,BENIGN
192.168.18.20,204.79.197.203,BENIGN,BENIGN
192.168.18.20,3.163.63.109,BENIGN,BENIGN
192.168.18.20,20.189.173.13,BENIGN,BENIGN
192.168.18.20,68.67.160.136,BENIGN,BENIGN
192.168.18.20,204.79.197.203,BENIGN,BENIGN
204.79.197.203,192.168.18.20,BENIGN,BENIGN
204.79.197.203,192.168.18.20,BENIGN,BENIGN
192.168.18.20,20.189.173.13,BENIGN,BENIGN
192.168.18.1,239.255.255.250,BENIGN,BENIGN
192.168.18.20,204.79.197.219,BENIGN,BENIGN
192.168.18.20,204.79.197.219,BENIGN,BENIGN
192.168.18.20,3.163.63.109,BENIGN,BENIGN
192.168.18.20,204.79.197.203,BENIGN,BENIGN
192.168.18.20,13.107.5.80,BENIGN,BENIGN
192.168.18.20,20.189.173.13,BENIGN,BENIGN
192.168.18.20,204.79.197.203,BENIGN,BENIGN
192.168.18.20,20.189.173.13,BENIGN,BENIGN
204.79.197.203,192.168.18.20,BENIGN,BENIGN
13.107.5.80,192.168.18.20,BENIGN,BENIGN
134.221.96.2,227.25.0.20,BENIGN,BENIGN
192.168.18.20,40.90.8.111,BENIGN,BENIGN
192.168.18.20,20.189.173.13,BENIGN,BENIGN
192.168.18.20,23.55.136.38,BENIGN,BENIGN
134.221.96.0,0.0.0.32,BENIGN,BENIGN
134.221.96.6,217.100.0.48,BENIGN,BENIGN
134.221.96.4,63.226.0.21,BENIGN,BENIGN
134.221.96.2,227.25.0.123,BENIGN,BENIGN
192.168.18.20,52.182.141.63,BENIGN,BENIGN
52.182.141.63,192.168.18.20,BENIGN,BENIGN
192.168.18.20,191.237.206.80,BENIGN,BENIGN
134.221.96.1,226.70.0.20,BENIGN,BENIGN
192.168.18.20,191.237.206.80,BENIGN,BENIGN
134.221.96.1,226.70.0.67,BENIGN,BENIGN
192.168.18.20,20.190.173.130,BENIGN,BENIGN
134.221.96.0,11.98.0.37,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.7,106.18.0.20,BENIGN,BENIGN
134.221.96.14,50.127.0.41,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.12,217.247.0.41,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.15,126.138.4.210,BENIGN,BENIGN
134.221.96.4,147.155.0.110,BENIGN,BENIGN
134.221.96.15,183.4.2.90,BENIGN,BENIGN
134.221.96.10,49.69.0.43,BENIGN,BENIGN
134.221.96.13,41.59.0.20,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.5,196.94.0.20,BENIGN,BENIGN
134.221.96.1,149.216.0.44,BENIGN,BENIGN
134.221.96.8,5.169.0.166,BENIGN,BENIGN
134.221.96.5,202.182.5.132,BENIGN,BENIGN
134.221.96.2,18.179.0.20,BENIGN,BENIGN
134.221.96.2,112.231.4.214,BENIGN,BENIGN
134.221.96.12,168.84.0.20,BENIGN,BENIGN
134.221.96.15,121.54.0.46,BENIGN,BENIGN
134.221.96.10,189.233.0.86,BENIGN,BENIGN
134.221.96.10,183.105.1.72,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.5,32.81.0.43,BENIGN,BENIGN
134.221.96.7,208.118.5.100,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.8,239.32.4.214,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.5,166.79.0.41,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.3,21.171.0.37,BENIGN,BENIGN
134.221.96.3,34.193.4.214,BENIGN,BENIGN
134.221.96.6,217.100.5.100,BENIGN,BENIGN
134.221.96.2,39.225.4.214,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.5,86.38.0.47,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.3,205.85.4.149,BENIGN,BENIGN
134.221.96.10,105.210.0.40,BENIGN,BENIGN
134.221.96.5,86.38.4.210,BENIGN,BENIGN
134.221.96.14,50.127.4.214,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.15,66.95.0.46,BENIGN,BENIGN
134.221.96.8,5.169.0.170,BENIGN,BENIGN
134.221.96.6,8.135.0.39,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.10,12.213.0.44,BENIGN,BENIGN
134.221.96.4,22.226.0.43,BENIGN,BENIGN
134.221.96.5,192.50.4.214,BENIGN,BENIGN
134.221.96.13,5.36.0.39,BENIGN,BENIGN
134.221.96.2,242.192.0.43,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
