Src IP,Dst IP,isAttack,type_attack
192.168.18.20,20.189.173.14,BENIGN,BENIGN
192.168.18.20,13.227.107.29,BENIGN,BENIGN
192.168.18.20,2.16.197.47,BENIGN,BENIGN
192.168.18.20,2.16.197.47,BENIGN,BENIGN
192.168.18.20,13.227.107.29,BENIGN,BENIGN
192.168.18.20,2.16.197.47,BENIGN,BENIGN
192.168.18.20,51.11.168.232,BENIGN,BENIGN
51.11.168.232,192.168.18.20,BENIGN,BENIGN
192.168.18.1,239.255.255.250,BENIGN,BENIGN
192.168.18.20,224.0.0.251,BENIGN,BENIGN
134.221.96.4,147.155.0.48,BENIGN,BENIGN
134.221.96.2,227.25.0.123,BENIGN,BENIGN
134.221.96.2,227.25.0.20,BENIGN,BENIGN
192.168.18.20,95.101.25.149,BENIGN,BENIGN
192.168.18.20,95.101.25.147,BENIGN,BENIGN
192.168.18.20,95.101.25.147,BENIGN,BENIGN
134.221.96.4,63.226.0.21,BENIGN,BENIGN
134.221.96.0,0.0.0.32,BENIGN,BENIGN
192.168.18.20,20.189.173.14,BENIGN,BENIGN
192.168.18.20,40.90.8.111,BENIGN,BENIGN
192.168.18.20,104.46.162.225,BENIGN,BENIGN
192.168.18.1,239.255.255.250,BENIGN,BENIGN
192.168.18.20,224.0.0.251,BENIGN,BENIGN
192.168.18.20,52.167.249.196,BENIGN,BENIGN
52.167.249.196,192.168.18.20,BENIGN,BENIGN
134.221.96.2,227.25.0.123,BENIGN,BENIGN
134.221.96.2,227.25.0.20,BENIGN,BENIGN
134.221.96.4,147.155.0.48,BENIGN,BENIGN
134.221.96.1,226.70.0.49,BENIGN,BENIGN
192.168.18.20,13.227.107.36,BENIGN,BENIGN
134.221.96.1,226.70.0.20,BENIGN,BENIGN
134.221.96.4,63.226.0.21,BENIGN,BENIGN
192.168.18.20,224.0.0.251,BENIGN,BENIGN
192.168.18.1,239.255.255.250,BENIGN,BENIGN
134.221.96.0,0.0.0.32,BENIGN,BENIGN
134.221.96.2,227.25.0.123,BENIGN,BENIGN
134.221.96.2,227.25.0.20,BENIGN,BENIGN
134.221.96.4,147.155.0.48,BENIGN,BENIGN
134.221.96.1,226.70.0.66,BENIGN,BENIGN
192.168.18.20,224.0.0.251,BENIGN,BENIGN
192.168.18.1,239.255.255.250,BENIGN,BENIGN
134.221.96.4,63.226.0.21,BENIGN,BENIGN
134.221.96.2,227.25.0.123,BENIGN,BENIGN
8.6.0.1,8.0.6.4,BENIGN,BENIGN
134.221.96.4,147.155.0.48,BENIGN,BENIGN
134.221.96.1,226.70.0.20,BENIGN,BENIGN
134.221.96.1,87.143.0.21,BENIGN,BENIGN
134.221.96.2,227.25.0.20,BENIGN,BENIGN
134.221.96.0,0.0.0.32,BENIGN,BENIGN
134.221.96.15,186.217.0.41,BENIGN,BENIGN
134.221.96.0,142.206.0.20,BENIGN,BENIGN
134.221.96.12,48.145.4.214,BENIGN,BENIGN
134.221.96.10,0.84.0.46,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.9,184.173.0.39,BENIGN,BENIGN
134.221.96.6,200.64.0.20,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
