Src IP,Dst IP,isAttack,type_attack
192.168.18.20,34.120.52.64,BENIGN,BENIGN
192.168.18.20,13.107.5.93,BENIGN,BENIGN
192.168.18.20,13.107.5.93,BENIGN,BENIGN
192.168.18.20,13.89.179.13,BENIGN,BENIGN
192.168.18.20,13.107.5.93,BENIGN,BENIGN
192.168.18.20,13.107.5.93,BENIGN,BENIGN
192.168.18.20,13.107.5.93,BENIGN,BENIGN
13.107.5.93,192.168.18.20,BENIGN,BENIGN
192.168.18.20,13.107.5.93,BENIGN,BENIGN
13.107.5.93,192.168.18.20,BENIGN,BENIGN
192.168.18.20,13.107.5.93,BENIGN,BENIGN
13.107.5.93,192.168.18.20,BENIGN,BENIGN
192.168.18.20,13.107.5.93,BENIGN,BENIGN
13.107.5.93,192.168.18.20,BENIGN,BENIGN
192.168.18.20,13.107.5.93,BENIGN,BENIGN
13.107.5.93,192.168.18.20,BENIGN,BENIGN
192.168.18.20,95.101.25.149,BENIGN,BENIGN
192.168.18.20,95.101.25.147,BENIGN,BENIGN
192.168.18.20,95.101.25.147,BENIGN,BENIGN
192.168.18.20,20.201.200.56,BENIGN,BENIGN
134.221.96.14,219.58.0.32,BENIGN,BENIGN
35.204.170.125,192.168.18.20,BENIGN,BENIGN
134.221.96.3,149.155.0.32,BENIGN,BENIGN
134.221.96.6,2.171.0.20,BENIGN,BENIGN
134.221.96.5,11.180.0.45,BENIGN,BENIGN
151.101.249.91,192.168.18.20,BENIGN,BENIGN
134.221.96.12,112.23.0.48,BENIGN,BENIGN
35.201.82.116,192.168.18.20,BENIGN,BENIGN
134.221.96.2,209.1.0.20,BENIGN,BENIGN
134.221.96.12,220.241.0.39,BENIGN,BENIGN
134.221.96.12,112.23.0.42,BENIGN,BENIGN
34.120.52.64,192.168.18.20,BENIGN,BENIGN
134.221.96.3,149.155.0.20,BENIGN,BENIGN
134.221.96.13,245.44.0.20,BENIGN,BENIGN
13.107.5.93,192.168.18.20,BENIGN,BENIGN
134.221.96.11,44.124.5.132,BENIGN,BENIGN
151.101.249.91,192.168.18.20,BENIGN,BENIGN
134.221.96.14,219.58.0.20,BENIGN,BENIGN
134.221.96.3,207.110.0.45,BENIGN,BENIGN
134.221.96.12,112.23.0.46,BENIGN,BENIGN
134.221.96.8,185.120.0.20,BENIGN,BENIGN
134.221.96.12,112.23.1.84,BENIGN,BENIGN
134.221.96.12,220.241.0.81,BENIGN,BENIGN
134.221.96.12,112.23.0.43,BENIGN,BENIGN
134.221.96.11,44.124.0.20,BENIGN,BENIGN
134.221.96.10,47.21.0.48,BENIGN,BENIGN
134.221.96.5,11.180.0.42,BENIGN,BENIGN
192.168.18.20,34.120.52.64,BENIGN,BENIGN
192.168.18.20,20.169.174.231,BENIGN,BENIGN
134.221.96.12,220.241.4.214,BENIGN,BENIGN
134.221.96.12,112.23.4.209,BENIGN,BENIGN
13.107.5.93,192.168.18.20,BENIGN,BENIGN
134.221.96.12,112.23.4.214,BENIGN,BENIGN
192.168.18.20,95.101.25.149,BENIGN,BENIGN
134.221.96.12,112.23.0.44,BENIGN,BENIGN
