Src IP,Dst IP,isAttack,type_attack
192.168.18.20,13.89.179.8,BENIGN,BENIGN
192.168.18.20,13.89.179.8,BENIGN,BENIGN
192.168.18.20,13.89.179.8,BENIGN,BENIGN
192.168.18.20,13.69.239.74,BENIGN,BENIGN
13.69.239.74,192.168.18.20,BENIGN,BENIGN
134.221.96.6,147.234.0.40,BENIGN,BENIGN
13.89.179.8,192.168.18.20,BENIGN,BENIGN
134.221.96.8,104.28.0.48,BENIGN,BENIGN
134.221.96.6,147.234.1.200,BENIGN,BENIGN
134.221.96.6,147.234.0.44,BENIGN,BENIGN
134.221.96.9,53.113.0.41,BENIGN,BENIGN
192.168.18.1,239.255.255.250,BENIGN,BENIGN
134.221.96.6,147.234.0.46,BENIGN,BENIGN
192.168.18.20,172.172.255.218,BENIGN,BENIGN
134.221.96.9,53.113.0.45,BENIGN,BENIGN
134.221.96.0,111.47.0.20,BENIGN,BENIGN
134.221.96.6,147.234.0.43,BENIGN,BENIGN
192.168.18.20,140.82.112.26,BENIGN,BENIGN
192.168.18.20,20.201.200.56,BENIGN,BENIGN
134.221.96.0,0.0.0.32,BENIGN,BENIGN
134.221.96.6,147.234.0.45,BENIGN,BENIGN
134.221.96.6,147.234.0.39,BENIGN,BENIGN
134.221.96.6,147.234.0.42,BENIGN,BENIGN
134.221.96.12,79.230.4.214,BENIGN,BENIGN
134.221.96.12,79.230.0.39,BENIGN,BENIGN
157.240.226.61,192.168.18.20,BENIGN,BENIGN
134.221.96.6,147.234.0.41,BENIGN,BENIGN
192.168.18.20,13.89.179.8,BENIGN,BENIGN
134.221.96.6,147.234.4.214,BENIGN,BENIGN
134.221.96.6,147.234.4.209,BENIGN,BENIGN
