Src IP,Dst IP,isAttack,type_attack
134.221.96.3,26.118.0.39,BENIGN,BENIGN
134.221.96.12,144.216.4.214,BENIGN,BENIGN
134.221.96.3,26.118.4.214,BENIGN,BENIGN
134.221.96.6,198.29.0.40,BENIGN,BENIGN
134.221.96.9,239.81.0.39,BENIGN,BENIGN
134.221.96.0,125.198.0.41,BENIGN,BENIGN
134.221.96.8,22.179.0.39,BENIGN,BENIGN
134.221.96.6,198.29.0.46,BENIGN,BENIGN
134.221.96.4,179.10.0.41,BENIGN,BENIGN
134.221.96.15,169.214.0.46,BENIGN,BENIGN
134.221.96.9,239.81.0.41,BENIGN,BENIGN
134.221.96.9,239.81.0.44,BENIGN,BENIGN
134.221.96.5,100.91.0.41,BENIGN,BENIGN
134.221.96.8,22.179.4.214,BENIGN,BENIGN
134.221.96.1,29.8.0.40,BENIGN,BENIGN
134.221.96.9,239.81.0.47,BENIGN,BENIGN
134.221.96.8,22.179.0.41,BENIGN,BENIGN
134.221.96.11,30.224.0.42,BENIGN,BENIGN
134.221.96.9,239.81.4.214,BENIGN,BENIGN
134.221.96.3,26.118.0.41,BENIGN,BENIGN
134.221.96.15,169.214.0.40,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.4,179.10.4.214,BENIGN,BENIGN
134.221.96.12,144.216.0.43,BENIGN,BENIGN
134.221.96.2,75.93.4.214,BENIGN,BENIGN
134.221.96.5,100.91.0.42,BENIGN,BENIGN
134.221.96.9,239.81.0.40,BENIGN,BENIGN
134.221.96.6,198.29.0.39,BENIGN,BENIGN
134.221.96.2,75.93.0.45,BENIGN,BENIGN
134.221.96.9,239.81.1.193,BENIGN,BENIGN
134.221.96.1,29.8.4.214,BENIGN,BENIGN
134.221.96.12,144.216.0.44,BENIGN,BENIGN
134.221.96.9,239.81.0.46,BENIGN,BENIGN
134.221.96.15,169.214.0.41,BENIGN,BENIGN
134.221.96.1,29.8.0.41,BENIGN,BENIGN
134.221.96.6,27.10.0.41,BENIGN,BENIGN
134.221.96.12,144.216.0.39,BENIGN,BENIGN
134.221.96.9,239.81.0.45,BENIGN,BENIGN
134.221.96.12,144.216.0.45,BENIGN,BENIGN
134.221.96.14,126.173.0.39,BENIGN,BENIGN
134.221.96.11,30.224.0.40,BENIGN,BENIGN
134.221.96.12,144.216.4.208,BENIGN,BENIGN
134.221.96.14,126.173.4.214,BENIGN,BENIGN
134.221.96.6,198.29.0.44,BENIGN,BENIGN
134.221.96.15,169.214.0.42,BENIGN,BENIGN
134.221.96.11,216.59.0.44,BENIGN,BENIGN
134.221.96.9,239.81.4.210,BENIGN,BENIGN
134.221.96.6,27.10.4.214,BENIGN,BENIGN
134.221.96.11,30.224.0.46,BENIGN,BENIGN
134.221.96.11,216.59.0.41,BENIGN,BENIGN
134.221.96.15,169.214.4.214,BENIGN,BENIGN
134.221.96.4,179.10.0.39,BENIGN,BENIGN
134.221.96.1,29.8.0.39,BENIGN,BENIGN
134.221.96.11,216.59.0.45,BENIGN,BENIGN
134.221.96.11,216.59.4.214,BENIGN,BENIGN
134.221.96.6,198.29.4.214,BENIGN,BENIGN
134.221.96.11,216.59.4.208,BENIGN,BENIGN
134.221.96.15,169.214.0.44,BENIGN,BENIGN
134.221.96.12,144.216.0.40,BENIGN,BENIGN
134.221.96.6,198.29.0.41,BENIGN,BENIGN
134.221.96.11,30.224.0.41,BENIGN,BENIGN
134.221.96.15,169.214.4.210,BENIGN,BENIGN
134.221.96.2,75.93.4.207,BENIGN,BENIGN
134.221.96.6,27.10.0.39,BENIGN,BENIGN
134.221.96.5,100.91.0.40,BENIGN,BENIGN
134.221.96.2,75.93.0.41,BENIGN,BENIGN
134.221.96.5,100.91.0.46,BENIGN,BENIGN
192.168.18.20,192.168.18.1,BENIGN,BENIGN
134.221.96.12,144.216.0.41,BENIGN,BENIGN
134.221.96.6,198.29.0.42,BENIGN,BENIGN
134.221.96.9,239.81.0.42,BENIGN,BENIGN
