Src IP,Dst IP,isAttack,type_attack
192.168.18.20,20.52.64.201,BENIGN,BENIGN
192.168.18.20,20.52.64.201,BENIGN,BENIGN
192.168.18.20,52.168.117.175,BENIGN,BENIGN
192.168.18.20,20.52.64.201,BENIGN,BENIGN
192.168.18.20,20.52.64.201,BENIGN,BENIGN
192.168.18.20,20.52.64.201,BENIGN,BENIGN
192.168.18.20,20.52.64.201,BENIGN,BENIGN
192.168.18.20,20.52.64.201,BENIGN,BENIGN
192.168.18.20,20.52.64.201,BENIGN,BENIGN
192.168.18.20,20.52.64.201,BENIGN,BENIGN
192.168.18.20,2.16.197.47,BENIGN,BENIGN
2.16.197.47,192.168.18.20,BENIGN,BENIGN
20.52.64.201,192.168.18.20,BENIGN,BENIGN
134.221.96.5,98.141.0.58,BENIGN,BENIGN
134.221.96.4,223.70.0.20,BENIGN,BENIGN
192.168.18.1,239.255.255.250,BENIGN,BENIGN
192.168.18.20,172.172.255.218,BENIGN,BENIGN
134.221.96.7,158.55.0.39,BENIGN,BENIGN
134.221.96.7,158.55.0.40,BENIGN,BENIGN
192.168.18.20,140.82.112.26,BENIGN,BENIGN
134.221.96.11,145.60.4.214,BENIGN,BENIGN
134.221.96.0,0.0.0.32,BENIGN,BENIGN
134.221.96.15,78.55.0.37,BENIGN,BENIGN
52.168.117.175,192.168.18.20,BENIGN,BENIGN
134.221.96.11,145.60.0.39,BENIGN,BENIGN
134.221.96.3,121.86.4.214,BENIGN,BENIGN
157.240.226.61,192.168.18.20,BENIGN,BENIGN
134.221.96.3,121.86.0.86,BENIGN,BENIGN
134.221.96.15,78.55.0.41,BENIGN,BENIGN
134.221.96.10,193.203.0.58,ATTACK,BENIGN
134.221.96.7,158.55.4.214,BENIGN,BENIGN
