Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.18.20-3.163.63.121-55549-443-6,192.168.18.20,55549,3.163.63.121,443,6,10/09/2025 03:10:49 PM,2875397,8,11,1894.0,6962.0,1412.0,0.0,236.75000000000003,496.29477128013343,1412.0,0.0,632.9090909090909,689.6286616064409,3079.9225289586097,6.607783203501986,159744.27777777778,664359.69271258,2821726.0,0.0,2861637.0,408805.2857142857,1064014.2561412908,2821726.0,0.0,53613.0,5361.3,7869.069930218353,21866.0,0.0,0,0,0,0,160,244,2.7822245067376783,3.8255586967643076,0.0,1412.0,442.79999999999995,624.6395676497641,390174.58947368426,0,1,0,0,0,0,0,0,1.0,466.10526315789474,236.75,632.9090909090909,0,0,0,0,0,0,8,1894,11,6962,-1,136,3,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-204.79.197.203-55552-443-6,192.168.18.20,55552,204.79.197.203,443,6,10/09/2025 03:10:52 PM,9316730,9,13,2556.0,6654.0,1412.0,0.0,284.0,484.6452310711414,1412.0,0.0,511.84615384615375,641.7731746437425,988.5442639209251,2.3613435185950435,443653.80952380947,2017170.766852936,9247284.0,0.0,9303702.0,1162962.75,3266565.8266672376,9247284.0,0.0,69357.0,5779.75,7931.835785731963,19196.0,0.0,0,0,0,0,180,284,0.9660041666979724,1.3953393518970711,0.0,1412.0,400.4347826086957,574.6637614598452,330238.4387351779,0,1,0,0,0,0,0,0,1.0,418.6363636363636,284.0,511.84615384615387,0,0,0,0,0,0,9,2556,13,6654,-1,16384,4,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-51.132.193.105-55553-443-6,192.168.18.20,55553,51.132.193.105,443,6,10/09/2025 03:11:11 PM,1091970,13,12,3520.0,4678.0,1412.0,0.0,270.7692307692308,511.0187788209865,1412.0,0.0,389.83333333333337,621.2011580702975,7507.532258212221,22.89440186085698,45498.74999999999,78210.29052788719,206439.0,0.0,901347.0,75112.25000000001,103024.07019555717,239901.0,0.0,1064739.0,96794.45454545454,111650.26547784258,239665.0,138.0,0,0,0,0,260,264,11.90508896764563,10.98931289321135,0.0,1412.0,315.3076923076923,550.2849275952063,302813.5015384615,0,1,0,0,0,0,0,0,0.0,327.92,270.7692307692308,389.8333333333333,0,0,0,0,0,0,13,3520,12,4678,-1,16386,8,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-51.132.193.105-55553-443-6,51.132.193.105,443,192.168.18.20,55553,6,10/09/2025 03:11:12 PM,497,1,2,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,21.0,29.698484809834994,84507.04225352113,6036.217303822937,248.5,65.76093065034893,295.0,202.0,0,0,0,0,0,202.0,202.0,0.0,202.0,202.0,0,1,0,0,20,40,2012.0724346076456,4024.1448692152912,0.0,42.0,21.0,24.24871130596428,588.0,0,0,0,1,1,0,0,0,2.0,28.0,0.0,21.0,0,0,0,0,0,0,1,0,2,42,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-2.20.20.27-55562-443-6,192.168.18.20,55562,2.20.20.27,443,6,10/09/2025 03:11:38 PM,8383736,14,19,3046.0,10973.0,1412.0,0.0,217.5714285714286,444.0675129346393,1412.0,0.0,577.5263157894736,638.1877439211976,1672.166203706796,3.9361926472875575,261991.75,1413667.0895955255,8007507.0,0.0,8375529.0,644271.4615384615,2212892.9420606717,8007507.0,0.0,375956.0,20886.44444444444,45595.46755367148,172958.0,0.0,0,0,0,0,280,404,1.6698999109704789,2.2662927363170784,0.0,1412.0,412.32352941176464,580.3396978357895,336794.1648841354,0,1,0,0,0,0,0,0,1.0,424.8181818181818,217.57142857142858,577.5263157894736,0,0,0,0,0,0,14,3046,19,10973,-1,552,6,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-2.20.20.27-55562-443-6,2.20.20.27,443,192.168.18.20,55562,6,10/09/2025 03:11:47 PM,429,1,2,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,12.0,16.97056274847714,55944.055944055945,6993.006993006993,214.5,92.63098833543772,280.0,149.0,0,0,0,0,0,149.0,149.0,0.0,149.0,149.0,0,1,0,0,20,40,2331.0023310023307,4662.004662004661,0.0,24.0,12.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,2.0,16.0,0.0,12.0,0,0,0,0,0,0,1,0,2,24,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.18.1-239.255.255.250-33810-1900-17,192.168.18.1,33810,239.255.255.250,1900,17,10/09/2025 03:10:12 PM,61827968,7,1,928.0,132.0,133.0,132.0,132.57142857142858,0.5345224838248464,132.0,132.0,132.0,0.0,17.144344772902773,0.1293912813049266,8832566.857142858,2.2680510500843085E7,6.0267129E7,255375.0,6.1572593E7,1.0262098833333334E7,2.4497362100002427E7,6.0267129E7,256353.0,0,0,0,0,0,0,0,0,0,56,8,0.11321737114181078,0.016173910163115826,132.0,133.0,132.44444444444446,0.5270462766947243,0.2777777777777718,0,0,0,0,0,0,0,0,0.0,149.0,132.57142857142858,132.0,0,0,0,0,0,0,7,928,1,132,-1,-1,7,0,775290.0,0.0,775290.0,775290.0,6.0267129E7,0.0,6.0267129E7,6.0267129E7,No Label
134.221.96.2-227.25.0.123-0-0-0,134.221.96.2,0,227.25.0.123,0,0,10/09/2025 03:10:19 PM,60013517,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033325825580260524,6.0013517E7,0.0,6.0013517E7,6.0013517E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016662912790130262,0.016662912790130262,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,6.0013517E7,0.0,6.0013517E7,6.0013517E7,No Label
134.221.96.2-227.25.0.20-0-0-0,134.221.96.2,0,227.25.0.20,0,0,10/09/2025 03:10:20 PM,60027148,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333182579322276,6.0027148E7,0.0,6.0027148E7,6.0027148E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166591289661138,0.0166591289661138,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,6.0027148E7,0.0,6.0027148E7,6.0027148E7,No Label
192.168.18.20-13.227.107.95-55568-443-6,192.168.18.20,55568,13.227.107.95,443,6,10/09/2025 03:12:15 PM,6698052,46,82,13399.0,57980.0,1412.0,0.0,291.2826086956521,477.65662529773545,1412.0,0.0,707.0731707317073,638.4125331485751,10656.68047963796,19.1100337829566,52740.566929133856,402995.1814856011,4525837.0,0.0,6686105.0,148580.11111111112,672291.4293042261,4525837.0,0.0,2172161.0,26816.802469135797,59036.634246334645,196895.0,0.0,0,0,0,0,920,1664,6.867668390750027,12.24236539220657,0.0,1412.0,553.3255813953491,616.7163570423642,380339.06504360476,0,1,0,0,0,0,0,0,1.0,557.6484375,291.2826086956522,707.0731707317074,0,0,0,0,0,0,46,13399,82,57980,-1,219,21,0,0,0,0,0,0,0,0,0,No Label
