Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.18.20-34.120.52.64-51986-443-6,192.168.18.20,51986,34.120.52.64,443,6,07/09/2025 06:11:51 PM,6024837,5,8,165.0,435.0,91.0,0.0,33.0,37.3563916887057,262.0,0.0,54.375,90.28358101005963,99.5877564820426,2.1577347237775895,502069.75,1678156.071233875,5829387.0,0.0,6024387.0,1506096.75,2898610.1765510975,5852483.0,1123.0,195450.0,27921.428571428572,51874.738308921114,143681.0,0.0,0,1,0,0,100,160,0.8298979706836882,1.3278367530939013,0.0,262.0,49.64285714285714,71.39339243597045,5097.016483516484,0,0,0,1,1,0,0,0,1.0,53.46153846153846,33.0,54.375,0,0,0,0,0,0,5,165,8,435,-1,1044,3,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-13.227.207.9-51982-443-6,192.168.18.20,51982,13.227.207.9,443,6,07/09/2025 06:11:57 PM,37717,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,53.0264867301217,37717.0,0.0,37717.0,37717.0,0,0,0,0,0,37717.0,37717.0,0.0,37717.0,37717.0,0,0,0,0,0,40,0.0,53.0264867301217,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,141,0,0,0,0,0,0,0,0,0,0,No Label
151.101.248.176-192.168.18.20-443-51983-6,192.168.18.20,51983,151.101.248.176,443,6,07/09/2025 06:11:57 PM,38161,0,4,0.0,24.0,0,0,0,0,24.0,0.0,6.0,12.0,628.9143366263987,104.81905610439978,12720.333333333332,22032.26362254531,38161.0,0.0,0,0,0,0,0,38161.0,12720.333333333332,22032.26362254531,38161.0,0.0,0,0,0,0,0,80,0.0,104.81905610439978,0.0,24.0,4.8,10.73312629199899,115.2,1,0,0,0,1,0,0,0,0.0,6.0,0.0,6.0,0,0,0,0,0,0,0,0,4,24,-1,299,0,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-35.204.170.125-51984-443-6,192.168.18.20,51984,35.204.170.125,443,6,07/09/2025 06:11:57 PM,241100,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.29531314807134,241100.0,0.0,241100.0,241100.0,0,0,0,0,0,241100.0,241100.0,0.0,241100.0,241100.0,0,0,0,0,0,40,0.0,8.29531314807134,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,312,0,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-35.204.170.125-51979-443-6,192.168.18.20,51979,35.204.170.125,443,6,07/09/2025 06:11:57 PM,240537,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.314729126911867,240537.0,0.0,240537.0,240537.0,0,0,0,0,0,240537.0,240537.0,0.0,240537.0,240537.0,0,0,0,0,0,40,0.0,8.314729126911867,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,371,0,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-35.204.170.125-51987-443-6,192.168.18.20,51987,35.204.170.125,443,6,07/09/2025 06:11:57 PM,239131,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.363616595088047,239131.0,0.0,239131.0,239131.0,0,0,0,0,0,239131.0,239131.0,0.0,239131.0,239131.0,0,0,0,0,0,40,0.0,8.363616595088047,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,308,0,0,0,0,0,0,0,0,0,0,No Label
192.168.18.5-192.168.18.20-9080-51929-6,192.168.18.20,51929,192.168.18.5,9080,6,07/09/2025 06:11:58 PM,34015,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,88.19638394825813,17007.5,24052.237162060414,34015.0,0.0,0,0,0,0,0,34015.0,17007.5,24052.237162060414,34015.0,0.0,0,0,0,0,0,60,0.0,88.19638394825813,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-23.37.9.176-51947-443-6,192.168.18.20,51947,23.37.9.176,443,6,07/09/2025 06:12:10 PM,13628,0,3,0.0,31.0,0,0,0,0,31.0,0.0,10.333333333333332,17.8978583448784,2274.7285001467567,220.13501614323454,6814.0,9636.451214010269,13628.0,0.0,0,0,0,0,0,13628.0,6814.0,9636.451214010269,13628.0,0.0,0,0,0,0,0,60,0.0,220.13501614323454,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,0,1,0,0,0,0.0,10.333333333333334,0.0,10.333333333333334,0,0,0,0,0,0,0,0,3,31,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.0-251.13.0.42-0-0-0,134.221.96.0,0,251.13.0.42,0,0,07/09/2025 06:11:53 PM,10414662,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.728332614154929,612627.1764705882,1321744.7281881452,4346149.0,15268.0,1.0399394E7,649962.125,1355802.4847316993,4346149.0,15651.0,0,0,0,0,0,0,0,0,0,0,0,1.6323141355907662,0.09601847856416272,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,17,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.6-181.146.0.41-0-0-0,134.221.96.6,0,181.146.0.41,0,0,07/09/2025 06:12:11 PM,336979,115,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.2351007036047,2930.2521739130425,3324.5688965836157,17444.0,220.0,336149.0,2948.675438596492,3333.345470615227,17444.0,220.0,0,0,0,0,0,0,0,0,0,0,0,341.2675567320219,2.967543971582799,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,115,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
