Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.18.20-20.52.64.201-50742-443-6,192.168.18.20,50742,20.52.64.201,443,6,09/09/2025 05:02:07 PM,886660,8,10,3095.0,5157.0,1412.0,0.0,386.875,505.125850655062,1412.0,0.0,515.7,634.4287106435906,9306.836893510477,20.300904518079083,52156.470588235294,88018.7687194595,206493.0,0.0,678565.0,96937.85714285714,120771.23816459581,259865.0,0.0,886660.0,98517.77777777778,103753.77113240001,208879.0,0.0,0,0,0,0,160,224,9.022624230257371,11.278280287821714,0.0,1412.0,434.31578947368416,561.8141302593451,315635.1169590644,0,1,0,0,0,0,0,0,1.0,458.44444444444446,386.875,515.7,0,0,0,0,0,0,8,3095,10,5157,-1,16386,4,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-20.52.64.201-50742-443-6,192.168.18.20,50742,20.52.64.201,443,6,09/09/2025 05:02:08 PM,842,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,28503.562945368172,3562.9453681710215,421.0,353.5533905932738,671.0,171.0,171.0,171.0,0.0,171.0,171.0,0,0,0,0,0,0,0,0,0,40,20,2375.2969121140145,1187.6484560570073,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,253,1,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-52.168.117.175-50739-443-6,192.168.18.20,50739,52.168.117.175,443,6,09/09/2025 05:02:07 PM,4123648,5,4,4092.0,217.0,1412.0,0.0,818.4,749.4029623640408,118.0,0.0,54.25,63.12091570945403,1044.9485504097343,2.182533523714924,515456.0,1387237.7896521047,3946950.0,0.0,4123119.0,1030779.75,1945886.4515537,3946950.0,0.0,128333.0,42777.66666666667,72282.89820098066,126236.0,128.0,0,1,0,0,100,80,1.212518624286069,0.9700148994288552,0.0,1412.0,442.70000000000005,638.8468865420293,408125.34444444446,0,0,0,1,1,0,0,0,0.0,491.8888888888889,818.4,54.25,0,0,0,0,0,0,5,4092,4,217,-1,16386,3,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-20.52.64.201-50743-443-6,192.168.18.20,50743,20.52.64.201,443,6,09/09/2025 05:02:14 PM,899499,8,10,4678.0,5157.0,1412.0,0.0,584.75,600.0339871326338,1412.0,0.0,515.7,634.4287106435906,10933.864295568977,20.01113953434078,52911.70588235294,95681.00400338402,242694.0,0.0,452741.0,64677.28571428571,105364.8474203079,228637.0,0.0,899499.0,99944.33333333333,119305.50449371563,257451.0,0.0,0,0,0,0,160,224,8.893839793040348,11.117299741300435,0.0,1412.0,517.6315789473684,598.4611015416788,358155.69005847955,0,1,0,0,0,0,0,0,1.0,546.3888888888889,584.75,515.7,0,0,0,0,0,0,8,4678,10,5157,-1,16386,5,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-20.52.64.201-50743-443-6,192.168.18.20,50743,20.52.64.201,443,6,09/09/2025 05:02:15 PM,2860,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,8391.608391608392,1048.951048951049,1430.0,1418.4562030602144,2433.0,427.0,427.0,427.0,0.0,427.0,427.0,0,0,0,0,0,0,0,0,0,40,20,699.3006993006993,349.65034965034965,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,253,1,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-20.52.64.201-50745-443-6,192.168.18.20,50745,20.52.64.201,443,6,09/09/2025 05:02:18 PM,902794,7,10,2961.0,5157.0,1412.0,0.0,423.00000000000006,508.84247726252835,1412.0,0.0,515.7,634.4287106435906,8992.084573003365,18.830430862411582,56424.625,98735.28270540712,241203.0,0.0,484526.0,80754.33333333333,122071.80368564506,241472.0,0.0,902794.0,100310.44444444445,118197.87160955046,244857.0,0.0,0,0,0,0,140,224,7.753706825698886,11.076724036712694,0.0,1412.0,451.0,564.9972410135657,319221.8823529412,0,1,0,0,0,0,0,0,1.0,477.52941176470586,423.0,515.7,0,0,0,0,0,0,7,2961,10,5157,-1,16386,4,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-20.52.64.201-50745-443-6,192.168.18.20,50745,20.52.64.201,443,6,09/09/2025 05:02:19 PM,1410,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,17021.27659574468,2127.659574468085,705.0,589.7270555095806,1122.0,288.0,288.0,288.0,0.0,288.0,288.0,0,0,0,0,0,0,0,0,0,40,20,1418.4397163120568,709.2198581560284,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,253,1,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-20.52.64.201-50746-443-6,192.168.18.20,50746,20.52.64.201,443,6,09/09/2025 05:02:20 PM,903750,8,10,2914.0,5157.0,1412.0,0.0,364.25000000000006,491.48194269983105,1412.0,0.0,515.7,634.4287106435906,8930.567081604426,19.91701244813278,53161.76470588235,89365.99443477466,214608.0,0.0,689491.0,98498.71428571429,123114.4187842002,259846.0,0.0,903750.0,100416.66666666667,104625.44881026796,215887.0,0.0,0,0,0,0,160,224,8.852005532503457,11.065006915629322,0.0,1412.0,424.7894736842106,558.0617826158447,311432.95321637427,0,1,0,0,0,0,0,0,1.0,448.3888888888889,364.25,515.7,0,0,0,0,0,0,8,2914,10,5157,-1,16386,4,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-20.52.64.201-50746-443-6,192.168.18.20,50746,20.52.64.201,443,6,09/09/2025 05:02:21 PM,918,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,26143.7908496732,3267.97385620915,459.0,403.0508652763321,744.0,174.0,174.0,174.0,0.0,174.0,174.0,0,0,0,0,0,0,0,0,0,40,20,2178.649237472767,1089.3246187363834,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,253,1,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-20.52.64.201-50744-443-6,192.168.18.20,50744,20.52.64.201,443,6,09/09/2025 05:02:18 PM,4003249,29,24,19608.0,7041.0,1412.0,0.0,676.1379310344827,650.5265847284212,1412.0,0.0,293.37499999999994,533.1947855594858,6656.8429792900715,13.239246422093654,76985.55769230769,202588.62918417237,1312844.0,0.0,3798672.0,135666.85714285716,286800.77119307366,1312844.0,0.0,2643978.0,114955.5652173913,170082.54008510802,742302.0,0.0,0,0,0,0,580,516,7.244115966805961,5.9951304552876925,0.0,1412.0,493.50000000000006,622.837140650415,387926.1037735848,0,1,0,0,0,0,0,0,0.0,502.811320754717,676.1379310344828,293.375,0,0,0,0,0,0,29,19608,24,7041,-1,16383,21,0,0,0,0,0,0,0,0,0,No Label
