Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.18.20-34.111.121.151-51962-443-6,192.168.18.20,51962,34.111.121.151,443,6,07/09/2025 06:11:17 PM,4914105,7,8,1794.0,5128.0,1412.0,0.0,256.2857142857143,522.6833695095959,1412.0,0.0,641.0,670.9464530475907,1408.5983103739134,3.0524378294725083,351007.5,1251274.2398633698,4697312.0,0.0,4813755.0,802292.5,1908370.7117809947,4697312.0,0.0,170005.0,24286.428571428572,37269.024693692314,99563.0,0.0,0,0,0,0,140,184,1.4244709870871703,1.6279668423853377,0.0,1412.0,432.625,607.8687221212598,369504.38333333336,0,1,0,0,0,0,0,0,1.0,461.46666666666664,256.2857142857143,641.0,0,0,0,0,0,0,7,1794,8,5128,-1,1047,3,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-34.111.121.151-51963-443-6,192.168.18.20,51963,34.111.121.151,443,6,07/09/2025 06:11:17 PM,4665340,7,8,1826.0,5128.0,1412.0,0.0,260.85714285714283,523.4524583861233,1412.0,0.0,641.0,670.9464530475907,1490.5666039345472,3.215199749643113,333238.5714285714,1193790.812466013,4480442.0,0.0,4623411.0,770568.5000000001,1817809.994677084,4480442.0,0.0,138665.0,19809.285714285714,20917.695967085583,46681.0,0.0,0,0,0,0,140,184,1.5004265498334528,1.7147731998096603,0.0,1412.0,434.62499999999994,607.5189846141984,369079.31666666665,0,1,0,0,0,0,0,0,1.0,463.6,260.85714285714283,641.0,0,0,0,0,0,0,7,1826,8,5128,-1,1047,3,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-13.227.207.69-51964-443-6,192.168.18.20,51964,13.227.207.69,443,6,07/09/2025 06:11:19 PM,3016902,31,155,2418.0,209544.0,1412.0,0.0,78.0,268.5073555789487,1412.0,0.0,1351.8967741935478,273.46827670892645,70258.1654955978,61.65264897567107,16307.578378378377,207708.82280544424,2825646.0,0.0,2994067.0,99802.23333333334,514891.141761165,2825646.0,0.0,191001.0,1240.2662337662337,5159.559899205834,38619.0,0.0,0,0,0,0,620,3124,10.275441495945179,51.37720747972589,0.0,1412.0,1133.4866310160432,553.0663725582293,305882.41245471814,0,1,0,0,0,0,0,0,5.0,1139.5806451612902,78.0,1351.8967741935485,0,0,0,0,0,0,31,2418,155,209544,-1,141,6,0,0,0,0,0,0,0,0,0,No Label
151.101.249.91-192.168.18.20-443-51969-6,192.168.18.20,51969,151.101.249.91,443,6,07/09/2025 06:11:22 PM,393851,11,17,2408.0,10927.0,1412.0,0.0,218.90909090909088,427.0120500748087,1412.0,0.0,642.7647058823529,688.0331141569209,33857.98182561425,71.09287522438689,14587.074074074073,49869.01211938665,260358.0,0.0,375216.0,37521.6,79873.56562050634,260358.0,0.0,98013.0,6125.812500000001,9707.744353307138,29213.0,0.0,0,0,0,0,220,364,27.92934383815199,43.163531386234894,0.0,1412.0,459.8275862068965,621.531752376194,386301.71921182267,0,1,0,0,0,0,0,0,1.0,476.25,218.9090909090909,642.7647058823529,0,0,0,0,0,0,11,2408,17,10927,-1,298,6,0,0,0,0,0,0,0,0,0,No Label
151.101.249.91-192.168.18.20-443-51969-6,151.101.249.91,443,192.168.18.20,51969,6,07/09/2025 06:11:22 PM,0,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,20,0.0,0.0,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,298,1,0,0,0,0,0,0,0,0,0,No Label
162.159.140.229-192.168.18.20-443-51961-6,192.168.18.20,51961,162.159.140.229,443,6,07/09/2025 06:11:16 PM,8331173,13,11,6095.0,2733.0,1400.0,0.0,468.84615384615387,580.8998545581167,1375.0,0.0,248.45454545454544,467.2909936295292,1059.63469969955,2.8807468048016767,362224.9130434783,1618081.073325407,7782109.0,0.0,8310730.0,692560.8333333334,2233799.6687108893,7782109.0,0.0,503686.0,50368.600000000006,73954.62115108156,227479.0,0.0,0,0,0,0,260,256,1.560404519267575,1.3203422855341018,0.0,1400.0,353.12000000000006,526.4758873870674,277176.86,0,1,0,0,0,0,0,0,0.0,367.8333333333333,468.84615384615387,248.45454545454547,0,0,0,0,0,0,13,6095,11,2733,-1,16,9,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-35.241.46.245-51973-443-6,192.168.18.20,51973,35.241.46.245,443,6,07/09/2025 06:11:27 PM,5051032,8,9,1854.0,5120.0,1412.0,0.0,231.74999999999997,494.405776087387,1412.0,0.0,568.8888888888889,663.4380989294413,1380.707942456116,3.3656488416624564,315689.5,1230253.427827833,4928873.0,0.0,5025525.0,717932.1428571427,1857017.8196255437,4928873.0,0.0,77754.0,9719.25,12585.48502669416,25966.0,0.0,0,0,0,0,160,204,1.5838347490176263,1.7818140926448298,0.0,1412.0,387.4444444444444,587.7473669190372,345446.96732026135,0,1,0,0,0,0,0,0,1.0,410.2352941176471,231.75,568.8888888888889,0,0,0,0,0,0,8,1854,9,5120,-1,1047,3,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-34.117.138.150-51972-443-6,192.168.18.20,51972,34.117.138.150,443,6,07/09/2025 06:11:27 PM,5272798,7,8,1838.0,5174.0,1412.0,0.0,262.5714285714286,523.8125800776639,1412.0,0.0,646.75,667.5404214620372,1329.8442307101468,2.844789426790103,376628.4285714286,1372576.44923747,5145248.0,0.0,5245480.0,874246.6666666666,2092494.8593917899,5145248.0,0.0,82192.0,11741.714285714286,13837.353199634263,31747.0,0.0,0,0,0,0,140,184,1.3275683991687146,1.5172210276213882,0.0,1412.0,438.25,606.708661550171,368095.39999999997,0,1,0,0,0,0,0,0,1.0,467.46666666666664,262.57142857142856,646.75,0,0,0,0,0,0,7,1838,8,5174,-1,1047,3,0,0,0,0,0,0,0,0,0,No Label
151.101.248.176-192.168.18.20-443-51978-6,192.168.18.20,51978,151.101.248.176,443,6,07/09/2025 06:11:30 PM,2095106,11,15,3951.0,7680.0,1412.0,0.0,359.18181818181813,551.4172319000954,1412.0,0.0,512.0000000000001,658.3365400765781,5551.509088322978,12.409873295193657,83804.24,383506.63163586886,1923612.0,0.0,2073397.0,207339.7,603359.934182841,1923612.0,0.0,153248.0,10946.285714285716,20352.19414528744,70666.0,0.0,0,0,0,0,220,336,5.250331009505008,7.159542285688648,0.0,1412.0,430.7777777777778,602.8527906375546,363431.48717948725,0,1,0,0,0,0,0,0,1.0,447.34615384615387,359.1818181818182,512.0,0,0,0,0,0,0,11,3951,15,7680,-1,298,7,0,0,0,0,0,0,0,0,0,No Label
192.168.18.20-35.204.170.125-51974-443-6,192.168.18.20,51974,35.204.170.125,443,6,07/09/2025 06:11:28 PM,3995339,11,15,2857.0,5391.0,1412.0,0.0,259.7272727272727,461.2864816811979,1412.0,0.0,359.4,563.6394237453586,2064.405548565466,6.507582961045358,159813.56,602471.7547402866,3019768.0,0.0,3764027.0,376402.69999999995,1030396.2530258875,3297189.0,0.0,975571.0,69683.64285714286,113800.32554408426,277706.0,0.0,0,0,0,0,220,324,2.7532081758268823,3.754374785218476,0.0,1412.0,305.48148148148135,508.97554500496926,259056.10541310548,0,1,0,0,0,0,0,0,1.0,317.2307692307692,259.72727272727275,359.4,0,0,0,0,0,0,11,2857,15,5391,-1,312,6,0,0,0,0,0,0,0,0,0,No Label
